Site Name,Customer Name,Fund Name,Latitude,Longitude,Number of Arrays,Total Array Capacity (kWp) - Irradiance File,Nameplate DC Capacity (kWp) - ADE,Azimuths (degrees),Slopes (degrees),Array Details,Number of Inverters,Date Commissioned
Carlton Mills Primary School,Ampyr Distributed Energy,Shawton Energy,53.808876,-1.785181,11,108.5,33.0,"76.0, 122.0, 165.0, 207.0, 210.0, 211.0, 212.0, 302.0","5.0, 20.0, 35.0, 41.0, 45.0",Az:76.0°/Tilt:20.0°/9.0kWp; Az:122.0°/Tilt:45.0°/2.0kWp; Az:211.0°/Tilt:45.0°/5.0kWp; Az:210.0°/Tilt:45.0°/3.5kWp; Az:122.0°/Tilt:45.0°/3.0kWp; Az:122.0°/Tilt:35.0°/31.0kWp; Az:302.0°/Tilt:35.0°/11.0kWp; Az:207.0°/Tilt:45.0°/4.0kWp; Az:211.0°/Tilt:35.0°/14.5kWp; Az:165.0°/Tilt:5.0°/24.0kWp; Az:212.0°/Tilt:41.0°/1.5kWp,1.0,2025-11-21 00:00:00.000 +0000
Carlton Thackley,Ampyr Distributed Energy,Shawton Energy,53.8411,-1.72488,3,47.5,47.5,"133.0, 313.0",5.0,Az:133.0°/Tilt:5.0°/11.5kWp; Az:133.0°/Tilt:5.0°/32.0kWp; Az:313.0°/Tilt:5.0°/4.0kWp,1.0,2025-11-21 00:00:00.000 +0000
City Football Group Phase 1,Ampyr Distributed Energy,Ultravolt SPV1 Limited,53.48012,-2.1889446,9,2205.5,2205.6,"35.0, 80.0, 93.0, 170.0, 215.0, 260.0, 273.0, 350.0","4.0, 5.0, 10.0",Az:350.0°/Tilt:5.0°/136.6kWp; Az:80.0°/Tilt:4.0°/231.4kWp; Az:93.0°/Tilt:10.0°/10.9kWp; Az:35.0°/Tilt:5.0°/424.6kWp; Az:170.0°/Tilt:5.0°/199.7kWp; Az:260.0°/Tilt:5.0°/473.6kWp; Az:273.0°/Tilt:10.0°/10.9kWp; Az:215.0°/Tilt:5.0°/424.6kWp; Az:80.0°/Tilt:5.0°/293.2kWp,22.0,2024-06-01 01:00:00.000 +0100
Cromwell Tools,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,52.584785,-1.1234,2,999.8,999.32,"94.0, 274.0","12.0, 13.0",Az:94.0°/Tilt:13.0°/500.1kWp; Az:274.0°/Tilt:12.0°/499.7kWp,13.0,2023-08-11 01:00:00.000 +0100
Dunham Forest Golf Club,Ampyr Distributed Energy,Lazards,53.387447,-2.3787653,4,58.459999999999994,58.4,"83.0, 87.0, 263.0, 267.0",10.0,Az:87.0°/Tilt:10.0°/8.295kWp; Az:267.0°/Tilt:10.0°/8.295kWp; Az:83.0°/Tilt:10.0°/20.935kWp; Az:263.0°/Tilt:10.0°/20.935kWp,3.0,2025-11-21 00:00:00.000 +0000
Duo Plastics,Ampyr Distributed Energy,Lazards,53.492634,-2.209555,16,557.5,557.5,"52.0, 53.0, 142.0, 232.0, 233.0","5.0, 9.0, 10.0, 23.0, 25.0, 30.0",Az:142.0°/Tilt:23.0°/30.0kWp; Az:232.0°/Tilt:25.0°/33.0kWp; Az:142.0°/Tilt:30.0°/45.0kWp; Az:52.0°/Tilt:10.0°/18.0kWp; Az:142.0°/Tilt:30.0°/58.0kWp; Az:233.0°/Tilt:9.0°/39.5kWp; Az:52.0°/Tilt:25.0°/27.0kWp; Az:233.0°/Tilt:9.0°/38.5kWp; Az:142.0°/Tilt:30.0°/57.0kWp; Az:232.0°/Tilt:9.0°/10.0kWp; Az:52.0°/Tilt:5.0°/88.5kWp; Az:232.0°/Tilt:10.0°/18.0kWp; Az:53.0°/Tilt:9.0°/42.0kWp; Az:53.0°/Tilt:9.0°/34.0kWp; Az:52.0°/Tilt:9.0°/10.0kWp; Az:142.0°/Tilt:23.0°/9.0kWp,1.0,2025-11-21 00:00:00.000 +0000
Faltec Europe Ltd,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,54.92429,-1.4784697,3,520.08,674.96,"38.0, 219.0",6.0,Az:219.0°/Tilt:6.0°/153.12kWp; Az:38.0°/Tilt:6.0°/212.08kWp; Az:219.0°/Tilt:6.0°/154.88kWp,2.0,2024-12-19 00:00:00.000 +0000
Finlay Beverages,Ampyr Distributed Energy,,53.60353,-1.28,2,1034.4,1600.2,"0.0, 57.0",6.0,Az:57.0°/Tilt:6.0°/797.4kWp; Az:0.0°/Tilt:6.0°/237.0kWp,9.0,2025-06-23 01:00:00.000 +0100
Hazelwick School,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,51.124912,-0.165185,3,224.94,224.94,"167.0, 182.0, 183.0",10.0,Az:182.0°/Tilt:10.0°/46.0kWp; Az:167.0°/Tilt:10.0°/102.12kWp; Az:183.0°/Tilt:10.0°/76.82kWp,3.0,2024-12-19 00:00:00.000 +0000
Hibernian Stadium,Ampyr Distributed Energy,Olympus Solar 2 Ltd,55.9619,-3.1653037,1,116.64,116.64,64.0,7.0,Az:64.0°/Tilt:7.0°/116.64kWp,3.0,2022-08-24 01:00:00.000 +0100
Hibernian Training Ground,Ampyr Distributed Energy,Olympus Solar II Ltd,55.92078,-2.9289362,3,89.91,89.91,"126.0, 216.0","10.0, 15.0",Az:126.0°/Tilt:15.0°/22.68kWp; Az:216.0°/Tilt:10.0°/47.79kWp; Az:216.0°/Tilt:15.0°/19.44kWp,3.0,2022-08-24 01:00:00.000 +0100
I&N Fabrications,Ampyr Distributed Energy,SPV (I&N),53.201515,-1.203931,1,62.25,63.8,105.0,9.0,Az:105.0°/Tilt:9.0°/62.25kWp,3.0,2025-11-21 00:00:00.000 +0000
Iceland - Penny Lane,Ampyr Distributed Energy,Shawton Energy,53.39007,-2.91682,5,88.0,88.0,"61.0, 151.0, 241.0, 331.0","7.5, 8.0",Az:61.0°/Tilt:7.5°/12.0kWp; Az:61.0°/Tilt:7.5°/5.5kWp; Az:241.0°/Tilt:7.5°/12.0kWp; Az:151.0°/Tilt:8.0°/51.5kWp; Az:331.0°/Tilt:7.5°/7.0kWp,1.0,2025-11-21 00:00:00.000 +0000
Iceland Bretton,Ampyr Distributed Energy,Lazards,52.591576,-0.28518426,2,63.0,63.0,"94.0, 274.0",18.0,Az:274.0°/Tilt:18.0°/21.0kWp; Az:94.0°/Tilt:18.0°/42.0kWp,1.0,2025-11-21 00:00:00.000 +0000
Iceland Queensferry,Ampyr Distributed Energy,Shawton Energy,53.209045,-3.0288415,1,115.0,115.0,123.0,22.8,Az:123.0°/Tilt:22.8°/115.0kWp,1.0,2025-11-21 00:00:00.000 +0000
Iceland Shrewsbury,Ampyr Distributed Energy,Iceland,52.689774,-2.751485,2,100.5,100.5,"110.0, 290.0",5.0,Az:110.0°/Tilt:5.0°/56.0kWp; Az:290.0°/Tilt:5.0°/44.5kWp,1.0,2025-11-21 00:00:00.000 +0000
Inktech,Ampyr Distributed Energy,Lazards,53.608807,-2.1398153,4,212.0,212.0,"89.0, 179.0, 269.0, 359.0","5.0, 9.0",Az:89.0°/Tilt:5.0°/47.0kWp; Az:179.0°/Tilt:9.0°/60.0kWp; Az:359.0°/Tilt:9.0°/60.0kWp; Az:269.0°/Tilt:5.0°/45.0kWp,3.0,2025-11-21 00:00:00.000 +0000
Knowles,Ampyr Distributed Energy,SPV3,52.68034,0.186814,1,500.25,500.0,183.0,8.0,Az:183.0°/Tilt:8.0°/500.25kWp,5.0,2025-11-21 00:00:00.000 +0000
Merry Hill,Ampyr Distributed Energy,Olympus Solar 2 Ltd,52.481136,-2.1127672,6,976.48,995.89,"179.0, 180.0, 222.0, 223.0, 224.0, 225.0",10.0,Az:180.0°/Tilt:10.0°/92.25kWp; Az:179.0°/Tilt:10.0°/101.68kWp; Az:222.0°/Tilt:10.0°/30.71kWp; Az:225.0°/Tilt:10.0°/377.63kWp; Az:223.0°/Tilt:10.0°/194.51kWp; Az:224.0°/Tilt:10.0°/179.7kWp,33.0,2023-10-09 01:00:00.000 +0100
Metro Centre,Ampyr Distributed Energy,Olympus Solar II Ltd,54.95851,-1.6703782,2,739.53,740.0,"106.0, 286.0",10.0,Az:286.0°/Tilt:10.0°/369.765kWp; Az:106.0°/Tilt:10.0°/369.765kWp,27.0,2024-01-24 00:00:00.000 +0000
Oasis - Bank Leaze,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,51.3927,-2.39,1,49.68,49.68,202.0,10.0,Az:202.0°/Tilt:10.0°/49.68kWp,1.0,2022-03-25 00:00:00.000 +0000
Oasis - Connaught,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,51.427967,-2.587576,2,57.78,57.78,173.0,25.0,Az:173.0°/Tilt:25.0°/35.64kWp; Az:173.0°/Tilt:25.0°/22.14kWp,1.0,2021-04-21 01:00:00.000 +0100
Oasis - Henderson Avenue,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,52.3536,0.3938,1,75.06,75.06,167.0,10.0,Az:167.0°/Tilt:10.0°/75.06kWp,1.0,2021-04-14 01:00:00.000 +0100
Oasis - Immingham,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,53.614574,-0.21134,3,207.0,207.0,"153.0, 154.0, 333.0",5.0,Az:333.0°/Tilt:5.0°/63.0kWp; Az:153.0°/Tilt:5.0°/81.0kWp; Az:154.0°/Tilt:5.0°/63.0kWp,3.0,2021-05-14 01:00:00.000 +0100
Oasis - Isle of Sheppey East,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,51.4205,0.7853,2,198.72,198.72,"167.0, 185.0",15.0,Az:185.0°/Tilt:15.0°/99.36kWp; Az:167.0°/Tilt:15.0°/99.36kWp,4.0,2025-06-13 01:00:00.000 +0100
Oasis - Isle of Sheppey West,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,51.4205,0.7853,3,145.8,220.32,182.0,"10.0, 12.0",Az:182.0°/Tilt:10.0°/37.26kWp; Az:182.0°/Tilt:12.0°/37.26kWp; Az:182.0°/Tilt:10.0°/71.28kWp,3.0,2023-05-15 01:00:00.000 +0100
Oasis - John Williams,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,51.4196,-2.5663,2,153.26999999999998,153.27,"99.0, 279.0",2.0,Az:279.0°/Tilt:2.0°/49.53kWp; Az:99.0°/Tilt:2.0°/103.74kWp,1.0,2022-02-15 00:00:00.000 +0000
Oasis - Lister Park,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,53.8139,-1.765,9,213.03,213.03,"5.0, 65.0, 66.0, 154.0, 243.0, 245.0","5.0, 8.0, 66.0",Az:243.0°/Tilt:5.0°/18.63kWp; Az:66.0°/Tilt:5.0°/18.63kWp; Az:5.0°/Tilt:66.0°/68.31kWp; Az:245.0°/Tilt:5.0°/49.68kWp; Az:243.0°/Tilt:5.0°/6.21kWp; Az:154.0°/Tilt:8.0°/10.8kWp; Az:245.0°/Tilt:5.0°/10.8kWp; Az:65.0°/Tilt:5.0°/18.63kWp; Az:66.0°/Tilt:5.0°/11.34kWp,1.0,2021-06-07 01:00:00.000 +0100
Oasis - Media City,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,53.2645,-2.2251,1,61.94,61.94,172.0,10.0,Az:172.0°/Tilt:10.0°/61.94kWp,4.0,2022-02-15 00:00:00.000 +0000
Oasis - New Oak,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,51.42044,-2.569186,2,48.599999999999994,48.6,"139.0, 229.0","15.0, 32.4",Az:139.0°/Tilt:32.4°/32.4kWp; Az:229.0°/Tilt:15.0°/16.2kWp,3.0,2021-04-21 01:00:00.000 +0100
Oasis - Parkwood,Ampyr Distributed Energy,Ampyr Distributed Energy,53.57831,-0.68111324,2,17.82,29.97,"180.0, 181.0",10.0,Az:180.0°/Tilt:10.0°/5.67kWp; Az:181.0°/Tilt:10.0°/12.15kWp,1.0,2021-04-14 01:00:00.000 +0100
Oasis - Pinewood,Ampyr Distributed Energy, Oasis Community Living  05398529,51.610306,0.16310771,3,45.36,45.36,"176.0, 177.0",10.0,Az:177.0°/Tilt:10.0°/14.31kWp; Az:177.0°/Tilt:10.0°/10.8kWp; Az:176.0°/Tilt:10.0°/20.25kWp,1.0,2021-04-14 01:00:00.000 +0100
Oasis - Short Heath,Ampyr Distributed Energy, Oasis Community Living 05398529 ,52.53421,-1.8582243,2,45.900000000000006,45.9,"189.0, 190.0",10.0,Az:189.0°/Tilt:10.0°/26.46kWp; Az:190.0°/Tilt:10.0°/19.44kWp,1.0,2021-06-04 01:00:00.000 +0100
Oasis - Wintringham,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,53.5487,-0.0812,4,168.48,168.48,"1.0, 89.0, 253.0, 271.0",10.0,Az:89.0°/Tilt:10.0°/30.24kWp; Az:271.0°/Tilt:10.0°/30.24kWp; Az:253.0°/Tilt:10.0°/53.46kWp; Az:1.0°/Tilt:10.0°/54.54kWp,1.0,2022-02-15 00:00:00.000 +0000
Panorama Kitchens,Ampyr Distributed Energy,Lazards,53.421436,-2.9487605,4,222.0,222.0,"135.0, 315.0","7.2, 7.3",Az:315.0°/Tilt:7.2°/29.5kWp; Az:135.0°/Tilt:7.3°/81.0kWp; Az:315.0°/Tilt:7.3°/82.0kWp; Az:135.0°/Tilt:7.2°/29.5kWp,3.0,2025-11-21 00:00:00.000 +0000
Parfetts - Birmingham,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,52.456444,-1.835168,2,246.45,386.37,"134.0, 314.0",6.0,Az:134.0°/Tilt:6.0°/139.92kWp; Az:314.0°/Tilt:6.0°/106.53kWp,6.0,2025-02-21 00:00:00.000 +0000
Park Hall Hotel,Ampyr Distributed Energy,Lazards,53.634304,-2.6955128,5,201.6,199.36,"125.0, 128.0, 216.0, 217.0, 218.0","9.0, 22.0, 30.0, 35.0",Az:218.0°/Tilt:30.0°/61.2kWp; Az:125.0°/Tilt:9.0°/59.4kWp; Az:217.0°/Tilt:35.0°/27.0kWp; Az:128.0°/Tilt:30.0°/27.0kWp; Az:216.0°/Tilt:22.0°/27.0kWp,4.0,2025-11-21 00:00:00.000 +0000
Shawton Engineering,Ampyr Distributed Energy,SPV (SEL),53.448486,-2.641205,2,217.5,218.0,"156.0, 212.0",13.0,Az:212.0°/Tilt:13.0°/76.5kWp; Az:156.0°/Tilt:13.0°/141.0kWp,6.0,2025-11-21 00:00:00.000 +0000
Sheldons Bakery,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,53.47693,-2.1852183,2,226.35000000000002,229.92,"96.0, 276.0",6.0,Az:276.0°/Tilt:6.0°/117.9kWp; Az:96.0°/Tilt:6.0°/108.45kWp,5.0,2023-12-12 00:00:00.000 +0000
Smithy's Mushrooms,,,,,1,224.4,,148.0,25.0,Az:148.0°/Tilt:25.0°/224.4kWp,,
Smithy's Mushrooms Phase 2,,,,,5,542.9,,"148.0, 328.0",10.0,Az:328.0°/Tilt:10.0°/185.12kWp; Az:328.0°/Tilt:10.0°/115.7kWp; Az:148.0°/Tilt:10.0°/186.9kWp; Az:148.0°/Tilt:10.0°/40.05kWp; Az:328.0°/Tilt:10.0°/15.13kWp,,
Smithys Mushrooms,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,53.59816,-2.8956819,1,224.4,224.4,148.0,25.0,Az:148.0°/Tilt:25.0°/224.4kWp,6.0,2024-12-31 00:00:00.000 +0000
Smithys Mushrooms Phase 2,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,53.59921,-2.901761,5,542.9,543.0,"148.0, 328.0",10.0,Az:328.0°/Tilt:10.0°/185.12kWp; Az:328.0°/Tilt:10.0°/115.7kWp; Az:148.0°/Tilt:10.0°/186.9kWp; Az:148.0°/Tilt:10.0°/40.05kWp; Az:328.0°/Tilt:10.0°/15.13kWp,17.0,2025-10-01 00:00:00.000 +0100
Sofina Haverhill,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,52.1024,0.4749,2,1015.48,1015.48,148.0,20.0,Az:148.0°/Tilt:20.0°/589.31kWp; Az:148.0°/Tilt:20.0°/426.17kWp,12.0,2025-03-15 00:00:00.000 +0000
Swift Dental Group,Ampyr Distributed Energy,Lazards,53.56285,-2.400527,2,92.65,93.48,"55.0, 235.0",10.0,Az:55.0°/Tilt:10.0°/44.625kWp; Az:235.0°/Tilt:10.0°/48.025kWp,2.0,2025-11-21 00:00:00.000 +0000
Uniroyal,Ampyr Distributed Energy,SPV6,53.9197,-2.141061,6,999.1800000000001,1000.0,"16.0, 45.0, 128.0, 196.0, 224.0, 308.0",5.0,Az:45.0°/Tilt:5.0°/63.84kWp; Az:128.0°/Tilt:5.0°/276.36kWp; Az:16.0°/Tilt:5.0°/252.84kWp; Az:224.0°/Tilt:5.0°/63.84kWp; Az:308.0°/Tilt:5.0°/143.64kWp; Az:196.0°/Tilt:5.0°/198.66kWp,8.0,2025-11-21 00:00:00.000 +0000
Valley Hydraulics,Ampyr Distributed Energy,SPV (VH),53.887733,-2.361954,1,88.5,88.5,161.0,15.4,Az:161.0°/Tilt:15.4°/88.5kWp,4.0,2025-11-21 00:00:00.000 +0000
WALC Adult Learning Centre,Ampyr Distributed Energy,Lazards,53.49956,-2.525587,1,50.4,50.4,113.0,5.0,Az:113.0°/Tilt:5.0°/50.4kWp,2.0,2025-11-21 00:00:00.000 +0000
WALC Leigh College,Ampyr Distributed Energy,Lazards,53.48822,-2.5310035,4,124.74,124.74,"19.0, 109.0",11.0,Az:19.0°/Tilt:11.0°/15.12kWp; Az:109.0°/Tilt:11.0°/15.12kWp; Az:109.0°/Tilt:11.0°/18.9kWp; Az:109.0°/Tilt:11.0°/75.6kWp,2.0,2025-11-21 00:00:00.000 +0000
WALC Pagefield,Ampyr Distributed Energy,Lazards,53.555202,-2.6393719,2,70.9,70.98,"71.0, 251.0",5.0,Az:71.0°/Tilt:5.0°/38.2kWp; Az:251.0°/Tilt:5.0°/32.7kWp,2.0,2025-11-21 00:00:00.000 +0000
WIENERBERGER FLOPLAST,Ampyr Distributed Energy,Olympus Solar II,51.350853,0.761212,2,1527.12,1528.12,"40.0, 220.0",6.0,Az:220.0°/Tilt:6.0°/753.16kWp; Az:40.0°/Tilt:6.0°/773.96kWp,13.0,2025-10-10 01:00:00.000 +0100
