name,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
BAE Fylde,,,,,,185.9505388888889,1749.800861111111,1596.3624416666664,1115.154638888889,500.8380055555556,459.74225,292.91783888888887,172.8431527777778
Bannatynes Braintree,,,,,,,147.74532872928177,141.41643784530385,101.67452900552485,50.59145856353591,29.656036931818186,31.655133522727276,26.383564917127067
Bannatynes Bury St Edmunds,,,,,,,,,,,38.103125000000006,84.18287500000001,41.100125
Bannatynes Colchester Kingsford Park,,,,,,,,,,,32.64274916387959,61.48112374581939,33.270548494983274
Bannatynes Cookridge Hall,,,,,,,,,,,19.532820945945943,27.720675675675672,18.404243243243243
Bannatynes Darlington Head Office,,,,,,,,,,,17.89728510028653,25.407541547277937,15.905553724928366
Bannatynes Norwich,,,,,,,,,,,20.100264258555136,37.57138783269963,19.74793536121673
Bannatynes Weybridge,,,,,,,,,,,31.251644859813084,55.48641121495328,31.265768691588782
Bannatynes Wildmoor,,,,,,,154.98435256410258,133.95983173076925,93.59939423076924,43.31673557692308,27.597434971098263,26.12250385356455,25.442503205128208
Blachford,40.160362162162166,70.84617567567568,196.02684864864867,290.0562405405405,335.2484972972973,339.91270270270275,299.0049027027027,246.9574216216216,180.01093243243247,90.2208837837838,54.19431891891893,32.22248918918919,20.044441891891893
Burnley College - Sports Hall,,,,,,,,,,,18.513293654608823,27.354438529022953,19.507790159435967
Carlton Bolling Tech Studies,,,,,,,,,,,13.26175,32.404,22.4005
Carlton High Park,,,,,,,141.23875,124.19675,84.42675,42.2885,24.7895,21.762,19.590125
Carlton Marshfield,,,,,,,,,3.117023178807947,50.04100993377484,69.13434105960265,41.97838410596027,29.96657947019867
Carlton Mills Primary School,,,,,,,139.3628409090909,122.91070454545456,85.52090909090909,42.74372727272728,9.361852534562212,23.395900921658985,19.878727272727275
Carlton Thackley,,,,,,,,,,,11.88438947368421,29.288715789473684,19.8849
Carlton Thorpe Primary,,,,,,,,,,,15.876142441860464,22.74427034883721,32.07696220930233
Casepak Sunningdale,,,,,,,,,,,,7.243313658660891,20.124548799133592
Casepak Warren Park Way,,,,,,,,,,,5.353125,33.75175,20.24825
City Football Group Phase 1,41.356722625255046,65.6503662434822,171.81684160054408,140.15353704375426,349.201042167309,189.37220065389735,176.6384038973439,239.92516344366356,158.1628566764906,75.47442985717525,48.42153117206983,31.48219319882113,20.20000470414872
Cromwell Tools,46.68303110622124,67.0360224044809,179.41607856571315,280.59382176435287,327.48526890378076,340.2045545609122,296.2848485697139,252.0619216343269,179.17421414282856,83.06900425085018,55.27550355071014,34.5856425785157,20.91932719043809
Dunham Forest Golf Club,,,,,,,,,,,11.021584459459458,31.747979729729725,19.491097972972973
Duo Plastics,,,,,,,,,,,24.33314843049327,37.5009,24.64745067264574
Faltec Europe Ltd,62.89270812182741,82.77120642978002,214.2580439932318,166.23365693739424,450.9195744500846,418.6729433164128,363.44346108291023,332.58712944162437,235.391282571912,127.6328045685279,58.52570642978003,34.584521996615905,20.954653976311334
Finlay Beverages,,,,,,39.3898487064117,203.1222135858916,236.4869831271091,173.1941839145107,88.48258548931385,47.740973565804275,28.34208211473566,18.532659730033743
Hazelwick School,60.27032719836401,89.523408997955,234.52738036809816,162.6643588957055,364.6595040899795,366.9925010224949,327.4094662576687,297.81880061349693,215.92457157464216,115.76709611451945,75.60621574642127,56.92136400817997,31.68180930470347
Hibernian Stadium,31.496,54.288,142.9005,228.4425,359.8505,292.943,275.9475,251.39225,158.744,75.2375,37.9265,19.385,13.31475
Hibernian Training Ground,51.15618468468468,75.49124324324325,172.2826891891892,256.72103153153154,390.6196486486487,302.77339189189195,288.5136846846847,278.89209684684687,187.24560360360363,95.48054054054056,54.83546396396396,28.72566216216216,19.205180180180182
I&N Fabrications,,,,,,,,,,,12.732,31.3405,20.4705
Iceland - Penny Lane,,,,,,,,,,,14.210842329545454,37.96424147727273,22.193257102272728
Iceland Bretton,,,,,,,,,,,13.407000000000002,37.748333333333335,21.0045
Iceland Queensferry,,,,,,,,,,,18.8525,46.11999999999999,25.8365
Iceland Shrewsbury,,,,,,,,,,,14.223436567164178,33.216860696517415,21.45071144278607
Inktech,,,,,,,,,,,18.234042452830188,28.85799056603773,19.75715212264151
