name,time,total_capacity_kwp,gti,gti_low,gti_high,ghi
BAE Fylde,2025-06-01,1676.7,185.9505388888889,103.91412777777776,269.22487777777775,179.6689888888889
BAE Fylde,2025-07-01,1676.7,1749.800861111111,1211.9456555555557,2316.0623444444445,1693.1003222222223
BAE Fylde,2025-08-01,1676.7,1596.3624416666664,1119.187238888889,2087.117511111111,1467.7658722222222
BAE Fylde,2025-09-01,1676.7,1115.154638888889,729.3663666666666,1514.5170333333335,949.507838888889
BAE Fylde,2025-10-01,1676.7,500.8380055555556,266.12000555555557,742.2597722222223,421.7226444444444
BAE Fylde,2025-11-01,1676.7,459.74224999999996,269.69017777777776,638.3341555555556,294.93701111111113
BAE Fylde,2025-12-01,1676.7,292.91783888888887,168.44434444444448,410.72777777777776,179.72643333333332
BAE Fylde,2026-01-01,1676.7,172.8431527777778,96.39608611111112,244.25665,110.01329166666667
Bannatynes Braintree,2025-07-01,80.545,147.74532872928177,97.18250276243093,201.84106491712706,147.4745
Bannatynes Braintree,2025-08-01,80.545,141.41643784530385,101.87968370165746,181.41897928176797,139.1895
Bannatynes Braintree,2025-09-01,80.545,101.67452900552485,66.40974723756906,136.27770580110496,98.10574999999999
Bannatynes Braintree,2025-10-01,80.545,50.59145856353591,29.46810497237569,72.72265055248619,48.35575
Bannatynes Braintree,2025-11-01,117.47999999999999,29.656036931818182,17.01040340909091,42.15971212121212,26.331208333333336
Bannatynes Braintree,2025-12-01,117.47999999999999,31.655133522727276,19.206874053030305,43.89383428030304,27.16156628787879
Bannatynes Braintree,2026-01-01,80.545,26.383564917127067,14.786233425414366,37.93510497237569,23.372
Bannatynes Bury St Edmunds,2025-11-01,64.08,38.103125000000006,23.174736111111113,51.13256944444444,20.1065
Bannatynes Bury St Edmunds,2025-12-01,64.08,84.18287500000001,54.47768055555555,109.26955555555556,41.160000000000004
Bannatynes Bury St Edmunds,2026-01-01,64.08,41.100125,24.581222222222223,56.180590277777775,22.64475
Bannatynes Colchester Kingsford Park,2025-11-01,133.055,32.64274916387959,21.385369565217392,43.08691638795986,22.024
Bannatynes Colchester Kingsford Park,2025-12-01,133.055,61.48112374581939,38.67467558528428,82.47121739130434,41.8
Bannatynes Colchester Kingsford Park,2026-01-01,133.055,33.270548494983274,20.5499389632107,45.37996404682274,23.7855
Bannatynes Cookridge Hall,2025-11-01,79.18,19.532820945945943,11.479398648648647,27.668300675675674,18.737499999999997
Bannatynes Cookridge Hall,2025-12-01,79.18,27.720675675675672,14.336989864864863,43.00833108108108,26.857499999999998
Bannatynes Cookridge Hall,2026-01-01,79.18,18.404243243243243,10.645420608108108,27.444263513513516,17.76575
Bannatynes Darlington Head Office,2025-11-01,52.35,17.89728510028653,10.70236676217765,25.04859025787966,17.8305
Bannatynes Darlington Head Office,2025-12-01,52.35,25.407541547277937,12.735502865329513,39.15859025787965,25.6585
Bannatynes Darlington Head Office,2026-01-01,52.35,15.905553724928366,8.468651146131805,24.637154727793696,15.89525
Bannatynes Norwich,2025-11-01,234.07,20.100264258555136,12.528787072243347,27.84348669201521,20.503
Bannatynes Norwich,2025-12-01,234.07,37.57138783269963,22.695539923954374,52.97247718631179,38.2
Bannatynes Norwich,2026-01-01,234.07,19.74793536121673,9.82236596958175,30.613309885931564,19.949
